bioId,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,deathDate,avg_weight
birdsu01w,G,0,0,69.0,150,Connecticut,,1980-10-16,0000-00-00,148.05
bishoab01w,F-C,0,0,74.0,184.8,,,1988-11-29,0000-00-00,184.8
bjedoni01w,C,0,0,78.0,195,,,1971-05-18,0000-00-00,196.98
bjorkan01w,F,0,0,72.0,166,Tennessee,,1989-07-14,0000-00-00,174.02
bjorkte01w,C,0,0,76.0,175,Colorado,,1982-06-29,0000-00-00,196.98
blackch01w,C,0,0,77.0,188,Duke,,1985-11-12,0000-00-00,196.98
blackde01w,G,0,0,63.0,124,St. Joseph's,,1966-07-29,0000-00-00,148.05
bladerh01w,G,0,0,67.0,138,Vanderbilt,,1972-10-29,0000-00-00,148.05
blodgci01w,G,0,0,69.0,130,Maine,,1975-12-23,0000-00-00,148.05
blueni01w,G,0,0,68.0,163,UCLA,,1984-03-29,0000-00-00,148.05
blueoc01w,F,0,0,73.0,163,Miami (FL),,1976-08-18,0000-00-00,174.02
bobbish01w,G,0,0,62.0,130,Tennessee,,1985-12-06,0000-00-00,148.05
boddiwh01w,G,0,0,69.0,149,Auburn,,1987-01-23,0000-00-00,148.05
boldeba01w,G,0,0,74.0,180,Louisiana Tech,,1969-06-16,0000-00-00,148.05
boltoru01w,G,0,0,69.0,150,Auburn,,1967-05-25,0000-00-00,148.05
bondla01w,G,0,0,67.0,132,Missouri,,1984-02-13,0000-00-00,148.05
bonfisu01w,G,0,0,68.0,145,,,1974-09-08,0000-00-00,148.05
bonnede01w,G,0,0,76.0,136,Auburn,,1987-08-21,0000-00-00,148.05
bookeka01w,C,0,0,73.0,170,Vanderbilt,,1965-04-10,0000-00-00,196.98
bosweca01w,F-G,0,0,72.0,168,Illinois State,,1962-11-10,0000-00-00,159.91
bouceje01w,G,0,0,68.0,130,Virginia,,1973-12-20,0000-00-00,148.05
bouchke01w,F,0,0,74.0,163,,,1968-01-13,0000-00-00,174.02
bowenli01w,G,0,0,67.0,145,Michigan State,,1983-10-25,0000-00-00,148.05
boydca01w,F,0,0,73.0,172,,,1975-10-31,0000-00-00,174.02
bradlki01w,F-C,0,0,77.0,185,Oral Roberts,,1974-08-26,0000-00-00,184.8
brancli01w,G,0,0,64.0,148.05,Texas A&M,,0000-00-00,0000-00-00,148.05
branzal01w,F,0,0,76.0,180,Florida International,,1971-07-17,0000-00-00,174.02
branzge01w,F,0,0,76.0,175,Florida International,,1976-07-25,0000-00-00,174.02
braxtja01w,F-C,0,0,75.0,178,Louisiana Tech,,1973-10-06,0000-00-00,184.8
braxtka01w,F-C,0,0,78.0,210,Georgia,,1983-02-18,0000-00-00,184.8
brazian01w,F,0,0,74.0,169,Texas Tech,,1976-09-18,0000-00-00,174.02
brcanra01w,C,0,0,80.0,198,none,,1967-04-15,0000-00-00,196.98
brelaje01w,F,0,0,75.0,170,North Carolina,,1988-02-23,0000-00-00,174.02
bristre01w,G,0,0,70.0,139,Arizona,,1978-02-10,0000-00-00,148.05
brogami01w,F,0,0,73.0,177,,,1973-02-08,0000-00-00,174.02
brondsa01w,G,0,0,67.0,136,U. Western Sydney,,1968-08-20,0000-00-00,148.05
brownci01w,F-C,0,0,74.0,183,Long Beach State,,1965-03-16,0000-00-00,184.8
brownco01w,G,0,0,69.0,150,North Carolina,,1980-10-21,0000-00-00,148.05
browned01w,G-F,0,0,69.0,163,Texas,,1978-07-01,0000-00-00,163.76
brownki01w,G,0,0,70.0,134,Georgia,,1979-01-13,0000-00-00,148.05
brownla01w,C,0,0,75.0,180,Louisiana Tech,,1972-12-01,0000-00-00,196.98
brownle01w,F,0,0,72.0,166,Virginia,,1977-06-03,0000-00-00,174.02
brownru01w,F,0,0,74.0,175,Furman,,1972-05-05,0000-00-00,174.02
brumfma01w,G,0,0,68.0,133,Rice,,1978-06-06,0000-00-00,148.05
brungje01w,F,0,0,73.0,165,Penn State,,1982-04-16,0000-00-00,174.02
brunsre01w,F,0,0,75.0,175,Georgetown,,1981-12-11,0000-00-00,174.02
bullevi01w,F,0,0,75.0,185,Maryland,,1967-10-04,0000-00-00,174.02
burgean01w,G,0,0,67.0,141,,,1969-04-10,0000-00-00,148.05
burgehe01w,C,0,0,77.0,195,Virginia,,1971-11-11,0000-00-00,196.98
burgehe02w,F,0,0,77.0,180,Virginia,,1971-11-11,0000-00-00,174.02
burgeli01w,F,0,0,73.0,173,Alabama,,1969-07-27,0000-00-00,174.02
burraal01w,C,0,0,75.0,218,Louisiana Tech,,1975-06-23,0000-00-00,196.98
burseja01w,C,0,0,77.0,199,Tulane,,1979-05-19,0000-00-00,196.98
buttsta01w,G,0,0,71.0,160,Tennessee,,1982-03-10,0000-00-00,148.05
byearla01w,G-F,0,0,71.0,206,DePaul,NE Oklahoma A&M (JC),1973-08-12,0000-00-00,163.76
byrdla01w,G,0,0,66.0,131,Eastern Michigan,,1960-02-01,0000-00-00,148.05
cabezli01w,F-C,0,0,75.0,178,Central Florida CC,,1973-10-25,0000-00-00,184.8
cainke01w,C,0,0,78.0,220,Tennessee,,1989-05-16,0000-00-00,196.98
camba01w,C,0,0,80.0,215,none,,1991-08-18,0000-00-00,196.98
campbed01w,G,0,0,68.0,152,Texas,,1968-11-26,0000-00-00,148.05
campbmi01w,F-C,0,0,77.0,170,USC,,1974-02-20,0000-00-00,184.8
cantydo01w,G-F,0,0,69.0,162,Alabama,,1977-03-02,0000-00-00,163.76
careyja01w,G,0,0,66.0,135,Texas,,1981-03-12,0000-00-00,148.05
carsoes01w,G-F,0,0,72.0,165,Rutgers,,1986-07-28,0000-00-00,163.76
carteam01w,F,0,0,74.0,185,Louisiana State,,1982-06-21,0000-00-00,174.02
cartede01w,G-F,0,0,72.0,185,Georgia,,1972-01-03,0000-00-00,163.76
cartesy01w,G,0,0,66.0,148.05,Texas A&M,,1990-11-18,0000-00-00,148.05
cashsw01w,F,0,0,73.0,162,Connecticut,,1979-09-22,0000-00-00,174.02
cassija01w,C,0,0,75.0,187,Maine,,1978-09-12,0000-00-00,196.98
castriz01w,F-G,0,0,72.0,140,,,1982-03-13,0000-00-00,159.91
catchta01w,F,0,0,73.0,167,Tennessee,,1979-07-21,0000-00-00,174.02
caufila01w,G,0,0,69.0,159,Oklahoma,,1980-05-25,0000-00-00,148.05
cebriel01w,C,0,0,77.0,190,none,,1971-02-07,0000-00-00,196.98
chacoke01w,G,0,0,69.0,151,George Mason,,1974-12-21,0000-00-00,148.05
chambco01w,G,0,0,69.0,160,Georgia,,1985-07-06,0000-00-00,148.05
chanequ01w,G,0,0,71.0,160,Louisiana State,,1986-04-14,0000-00-00,148.05
chapmji01w,C,0,0,75.0,206,Indiana,,1979-11-04,0000-00-00,196.98
charlda01w,F-C,0,0,75.0,141,Tennessee,,1968-11-22,0000-00-00,184.8
charlti01w,C,0,0,76.0,198,Connecticut,,1988-12-05,0000-00-00,196.98
chaseso01w,G,0,0,69.0,150,Maryland,,1976-03-09,0000-00-00,148.05
cheekjo01w,F,0,0,73.0,201,Duke,,1988-06-25,0000-00-00,174.02
cheruam01w,G,0,0,70.0,140,Indiana,,1970-04-18,0000-00-00,148.05
chestfe01w,F,0,0,75.0,180,DePaul,,1988-03-24,0000-00-00,174.02
choneka01w,C,0,0,75.0,180,North Carolina State,,1981-01-11,0000-00-00,196.98
chriska01w,F,0,0,74.0,171,UC Santa Barbara,,1980-11-16,0000-00-00,174.02
chriska02w,F,0,0,72.0,180,Duke,,1989-09-11,0000-00-00,174.02
chrissh01w,F,0,0,73.0,170,Arkansas,,1982-02-15,0000-00-00,174.02
cironkr01w,G,0,0,68.0,150,Illinois State,,1987-05-19,0000-00-00,148.05
clarkal01w,F,0,0,70.0,167,Middle Tennessee State,,1987-07-07,0000-00-00,174.02
clarkma01w,F-C,0,0,75.0,184.8,Arizona,,1971-01-01,0000-00-00,184.8
clearmi01w,G,0,0,66.0,126,Australian Institute of Sport,,1974-07-16,0000-00-00,148.05
clinest01w,G,0,0,65.0,148,UC Santa Barbara,,1978-04-22,0000-00-00,148.05
coggicl01w,G,0,0,71.0,170,Kansas State,,1985-05-19,0000-00-00,148.05
cokermo01w,F,0,0,73.0,180,Old Dominion,,1982-11-28,0000-00-00,174.02
colemco01w,F,0,0,72.0,170,Ohio State,,1981-04-13,0000-00-00,174.02
colemma01w,G-F,0,0,73.0,160,Maryland,,1987-01-04,0000-00-00,163.76
colleka01w,G-F,0,0,70.0,145,Maryland,,1971-03-17,0000-00-00,163.76
colsosy01w,G,0,0,68.0,140,Texas A&M,,1989-08-06,0000-00-00,148.05
compame01w,G,0,0,69.0,143,St. Joseph's,,1975-09-18,0000-00-00,148.05
congran01w,F-C,0,0,74.0,183,Mercer,,1970-06-03,0000-00-00,184.8
conklab01w,F,0,0,75.0,175,Tennessee,,1975-02-10,0000-00-00,174.02
consuca01w,G,0,0,68.0,144,Iowa,,1979-03-04,0000-00-00,148.05
coopeca01w,C,0,0,76.0,176,Purdue,,1979-02-05,0000-00-00,196.98
coopecy01w,G,0,0,70.0,150,USC,,1963-04-14,0000-00-00,148.05
crawlsy01w,F-C,0,0,77.0,187,North Carolina,,1972-09-27,0000-00-00,184.8
crockda01w,F,0,0,73.0,158,Baylor,,1981-02-11,0000-00-00,174.02
crockwi01w,F,0,0,74.0,215,Connecticut,,1984-07-05,0000-00-00,174.02
cronika01w,G,0,0,72.0,155,Colorado State,,1977-09-08,0000-00-00,148.05
crosssh01w,G,0,0,70.0,155,Tennessee,,1983-09-07,0000-00-00,148.05
crumpca01w,G,0,0,70.0,158,Alabama,,1962-10-29,0000-00-00,148.05
cummiki01w,F,0,0,75.0,188,Long Beach State,,1963-08-29,0000-00-00,174.02
cunnibe01w,G,0,0,72.0,163,Notre Dame,,1975-06-05,0000-00-00,148.05
cunnida01w,F,0,0,72.0,187,Rutgers,,1980-01-27,0000-00-00,174.02
cunnima01w,F-C,0,0,76.0,184.8,Vanderbilt,,1973-05-20,0000-00-00,184.8
currimo01w,F,0,0,72.0,177,Duke,,1983-02-25,0000-00-00,174.02
curryed01w,G,0,0,64.0,138,Oregon,,1979-07-09,0000-00-00,148.05
dalesst01w,G-F,0,0,72.0,155,Oklahoma,,1979-09-05,0000-00-00,163.76
daleygr01w,G,0,0,66.0,147,Tulane,,1978-06-26,0000-00-00,148.05
darlihe01w,G,0,0,66.0,164,Penn State,,1978-08-29,0000-00-00,148.05
davenje01w,C,0,0,77.0,215,Ohio State,,1985-06-24,0000-00-00,196.98
davisbr01w,G,0,0,72.0,172,Oregon,,1983-01-01,0000-00-00,148.05
daviscl01w,F,0,0,73.0,165,Texas,,1967-06-04,0000-00-00,174.02
davisde01w,G,0,0,67.0,138,Vanderbilt,,1984-11-08,0000-00-00,148.05
davisla01w,G,0,0,67.0,145,Tennessee,,1974-10-08,0000-00-00,148.05
davista01w,F,0,0,70.0,160,Washington,,1972-09-25,0000-00-00,174.02
davista02w,G,0,0,71.0,148.05,Florida State,,1987-06-07,0000-00-00,148.05
dedenka01w,F,0,0,76.0,170,Washington,,1969-09-23,0000-00-00,174.02
deforan01w,G,0,0,70.0,160,Nebraska,,1976-04-14,0000-00-00,148.05
derevje01w,G,0,0,70.0,140,George Mason,,1982-03-29,0000-00-00,148.05
desouer01w,F-C,0,0,77.0,190,,,1982-03-03,0000-00-00,184.8
dickeke01w,F,0,0,71.0,165,Texas Tech,,1978-04-20,0000-00-00,174.02
dillata01w,G,0,0,69.0,154,Texas,,1981-05-06,0000-00-00,148.05
dixonin01w,C,0,0,75.0,196.98,California,,1972-09-16,0000-00-00,196.98
dixonta01w,G,0,0,69.0,148,Kansas,,1975-12-14,0000-00-00,148.05
doagela01w,G,0,0,66.0,137,Nebraska,,1975-05-15,0000-00-00,148.05
domonna01w,G,0,0,70.0,132,Iowa,,1975-09-28,0000-00-00,148.05
donapbe01w,F-C,0,0,74.0,195,Stanford,,1980-08-27,0000-00-00,184.8
doronsh01w,G,0,0,69.0,145,Maryland,,1985-04-01,0000-00-00,148.05
dossaci01w,C,0,0,77.0,187,,,1975-01-31,0000-00-00,196.98
douglka01w,G-F,0,0,72.0,167,Purdue,,1979-05-07,0000-00-00,163.76
duffyme01w,G,0,0,67.0,135,Notre Dame,,1984-07-13,0000-00-00,148.05
dunlavi01w,F,0,0,73.0,160,Kentucky,,1989-09-19,0000-00-00,174.02
dupreca01w,F,0,0,74.0,162,Temple,,1984-08-16,0000-00-00,174.02
dydekka01w,F-C,0,0,79.0,190,Evangel,,1970-03-21,0000-00-00,184.8
dydekma01w,C,0,0,9.0,223,,,1974-04-28,2011-05-27,196.98
edwarmi01w,G,0,0,69.0,150,Rutgers,,1966-03-06,0000-00-00,148.05
edwarsi01w,C,0,0,76.0,164,Iowa,,1973-11-17,0000-00-00,196.98
edwarte01w,G-F,0,0,71.0,155,Georgia,,1964-07-09,0000-00-00,163.76
edwarto01w,G,0,0,70.0,160,Tennessee,,1968-03-13,0000-00-00,148.05
elysh01w,F,0,0,74.0,182,Tennessee,,1983-08-09,0000-00-00,174.02
enissh01w,F-C,0,0,73.0,185,Alabama,,1974-12-03,0000-00-00,184.8
erbsu01w,C,0,0,78.0,240,North Carolina State,,1977-07-25,0000-00-00,196.98
ervinla01w,F,0,0,76.0,171,Arkansas,,1985-03-24,0000-00-00,174.02
evansda01w,G,0,0,67.0,148.05,James Madison,,1989-06-30,0000-00-00,148.05
evansde01w,G,0,0,64.0,125,Virginia,,1970-10-11,0000-00-00,148.05
fallotr01w,G-F,0,0,75.0,165,,,1972-07-23,0000-00-00,163.76
farriba01w,C-F,0,0,75.0,200,Tulane,,1976-09-10,0000-00-00,191.11
feastal01w,F,0,0,71.0,168,Harvard,,1976-02-11,0000-00-00,174.02
feifesu01w,G,0,0,73.0,162,,,1979-01-29,0000-00-00,148.05
feldeja01w,F,0,0,73.0,174.02,Southern Mississippi,,1969-10-16,0000-00-00,174.02
ferdima01w,G,0,0,69.0,153,Louisiana State,,1978-10-13,0000-00-00,148.05
fernama01w,G,0,0,71.0,138,,,1981-12-21,0000-00-00,148.05
ferrama01w,F,0,0,75.0,190,,,1972-02-11,0000-00-00,174.02
figgsuk01w,G,0,0,69.0,142,Purdue,,1977-03-31,0000-00-00,148.05
fijalis01w,C,0,0,77.0,200,Colorado,,1972-05-23,0000-00-00,196.98
firsool01w,C,0,0,78.0,215,Kansas State,,1976-04-23,0000-00-00,196.98
floremi01w,G,0,0,66.0,125,Stanford,,1977-10-19,0000-00-00,148.05
flukety01w,C,0,0,77.0,209,Tennessee,,1984-12-27,0000-00-00,196.98
folklkr01w,F,0,0,74.0,190,Stanford,,1975-12-19,0000-00-00,174.02
fordch01w,F,0,0,75.0,198,Louisiana Tech,,1981-06-06,0000-00-00,174.02
fordki01w,G-F,0,0,70.0,153,Georgia Tech,,1975-04-04,0000-00-00,163.76
fordst01w,F,0,0,74.0,185,Georgia,,1969-01-14,0000-00-00,174.02
fosteto01w,F,0,0,73.0,175,Iowa,,1971-10-16,0000-00-00,174.02
fowlesy01w,C,0,0,78.0,200,Louisiana State,,1985-10-06,0000-00-00,196.98
francde01w,F,0,0,70.0,193,Iowa State,,1975-08-24,0000-00-00,174.02
frankaq01w,G,0,0,64.0,154,Texas A&M,,1985-09-29,0000-00-00,148.05
frazeme01w,F,0,0,75.0,191,Liberty,,1987-03-29,0000-00-00,174.02
freemla01w,F,0,0,73.0,175,Auburn,,1971-03-17,0000-00-00,174.02
fresest01w,G,0,0,68.0,126,Iowa State,,1976-09-23,0000-00-00,148.05
frettla01w,F,0,0,75.0,170,Georgia,,1975-06-12,0000-00-00,174.02
friertr01w,F,0,0,74.0,186,Louisiana Tech,,1979-08-23,0000-00-00,174.02
frohlli01w,F-C,0,0,75.0,185,,,1979-06-23,0000-00-00,184.8
frostsh01w,C,0,0,76.0,184,Tennessee,,1966-12-19,0000-00-00,196.98
futreca01w,G,0,0,70.0,154,Duquesne,,1982-07-10,0000-00-00,148.05
gaithka01w,C,0,0,75.0,170,Notre Dame,,1975-08-13,0000-00-00,196.98
gamblam01w,F,0,0,70.0,163,Arizona,,1964-12-17,0000-00-00,174.02
ganttr01w,C,0,0,74.0,181,Lamar,,1971-10-10,0000-00-00,196.98
garcibe01w,G,0,0,65.0,135,,,1976-09-03,0000-00-00,148.05
gardike01w,F,0,0,73.0,168,Virginia Tech,,1984-05-19,0000-00-00,174.02
gardnan01w,F-C,0,0,75.0,190,Howard,,1979-12-23,0000-00-00,184.8
garnean01w,F-C,0,0,75.0,160,Penn State,,1979-01-05,0000-00-00,184.8
gaydeco01w,G,0,0,69.0,150,Louisiana State,,1971-05-11,0000-00-00,148.05
gaypi01w,G-F,0,0,71.0,183,Louisiana State,,1974-08-21,0000-00-00,163.76
gearlka01w,G-F,0,0,73.0,184,Purdue,,1984-10-26,0000-00-00,163.76
gessiki01w,F,0,0,75.0,175,USC,,1970-12-29,0000-00-00,174.02
gibsoke01w,F-G,0,0,70.0,136,Maryland,,1976-11-10,0000-00-00,159.91
gilbrbr01w,G,0,0,73.0,148.05,USC,,1990-08-16,0000-00-00,148.05
gilloje01w,F-C,0,0,75.0,180,Mississippi,,1964-06-13,0000-00-00,184.8
gilmous01w,G,0,0,71.0,158,Rutgers,,1978-08-24,0000-00-00,148.05
gisseka01w,F,0,0,73.0,178,Penn State,North Carolina State,1985-07-27,0000-00-00,174.02
givench01w,G,0,0,70.0,148.05,Middle Tennessee State,,1985-07-26,0000-00-00,148.05
godbyli01w,F-C,0,0,78.0,163,Auburn,,1968-10-17,0000-00-00,184.8
gomisem01w,G,0,0,71.0,134,,,1983-10-18,0000-00-00,148.05
goodemo01w,G,0,0,66.0,130,Stanford,,1972-02-08,0000-00-00,148.05
goodeti01w,F,0,0,71.0,165,Iowa,,1975-10-23,0000-00-00,174.02
goodlsa01w,C,0,0,77.0,239,Georgia Tech,,1990-08-09,0000-00-00,196.98
goodsad01w,F,0,0,72.0,165,Old Dominion,,1966-10-19,0000-00-00,174.02
gordobr01w,F,0,0,72.0,159,Tennessee,,1967-04-27,0000-00-00,174.02
goringi01w,C,0,0,79.0,225,North Carolina State (jr-sr),Arkansas-Fort Smith (fr-so),1983-06-07,0000-00-00,196.98
gortmsh01w,G,0,0,70.0,158,South Carolina,,1979-12-07,0000-00-00,148.05
grahama01w,C,0,0,75.0,240,Houston,,1970-12-18,0000-00-00,196.98
granter01w,G,0,0,68.0,125,Texas Tech,,1984-06-13,0000-00-00,148.05
gravede01w,C,0,0,77.0,212,Howard,,1975-09-16,0000-00-00,196.98
graylal01w,G,0,0,68.0,176,California,,1987-04-21,0000-00-00,148.05
grecomi01w,G,0,0,69.0,145,UCLA,,1980-03-24,0000-00-00,148.05
greenci01w,C,0,0,77.0,183,Texas Tech,,1983-04-04,0000-00-00,196.98
greenka01w,G,0,0,70.0,170,Connecticut,,1987-07-13,0000-00-00,148.05
grginve01w,F,0,0,73.0,160,,,1975-01-13,0000-00-00,174.02
griffke01w,F,0,0,74.0,179,Nebraska,,1987-07-02,0000-00-00,174.02
griffyo01w,C-F,0,0,75.0,188,Florida Atlantic,,1970-03-01,0000-00-00,191.11
groomla01w,G-F,0,0,70.0,160,Georgia,,1970-09-12,0000-00-00,163.76
grubigo01w,G,0,0,71.0,165,,,1972-08-20,0000-00-00,148.05
grudasa01w,F-C,0,0,76.0,185,,,1987-06-25,0000-00-00,184.8
guytowa01w,F,0,0,73.0,178,South Florida,,1965-10-14,0000-00-00,174.02
hagiwmi01w,G,0,0,71.0,161,,,1970-04-27,0000-00-00,148.05
hairska01w,F,0,0,72.0,150,Temple,,1985-08-18,0000-00-00,174.02
hallam01w,F,0,0,75.0,180,Washington,,1977-12-29,0000-00-00,174.02
hallvi01w,F,0,0,73.0,180,Texas,,1969-10-03,0000-00-00,174.02
hamblan01w,G,0,0,70.0,170,Iowa,,1976-09-30,0000-00-00,148.05
hammobe01w,G,0,0,66.0,136,Colorado State,,1977-03-11,0000-00-00,148.05
hamptky01w,F,0,0,74.0,210,Arizona State,,1962-11-03,0000-00-00,174.02
hamzoro01w,G,0,0,69.0,152,,,1970-08-17,0000-00-00,148.05
hardili01w,G,0,0,68.0,139,Duke,,1984-06-12,0000-00-00,148.05
hardish01w,G,0,0,69.0,165,Louisiana Tech,,1969-06-27,0000-00-00,148.05
harpela01w,F-C,0,0,77.0,190,Maryland,,1986-04-11,0000-00-00,184.8
harriam01w,F,0,0,77.0,202,Xavier,,1988-01-16,0000-00-00,174.02
harrido01w,F,0,0,75.0,190,Old Dominion,,1966-09-29,0000-00-00,174.02
harrifr01w,G,0,0,72.0,154,Texas,,1965-03-12,0000-00-00,148.05
harrili01w,F,0,0,73.0,164,Tennessee,,1971-01-02,0000-00-00,174.02
harrokr01w,G,0,0,64.0,139,,,1975-03-04,0000-00-00,148.05
haydeva01w,C,0,0,76.0,240,Florida,,1982-06-05,0000-00-00,196.98
hayesti01w,G,0,0,70.0,148.05,Connecticut,,1989-09-20,0000-00-00,148.05
haynikr01w,G,0,0,69.0,147,Michigan State,,1983-06-17,0000-00-00,148.05
headde01w,G,0,0,70.0,160,Tennessee,,1970-08-16,0000-00-00,148.05
hedgpch01w,G,0,0,69.0,143,Stanford,,1972-02-17,0000-00-00,148.05
hemmera01w,F-C,0,0,75.0,184.8,Stanford,,1973-04-02,0000-00-00,184.8
hendene01w,G,0,0,68.0,144,Texas,,1973-02-28,0000-00-00,148.05
hendetr01w,C,0,0,75.0,200,Georgia,,1974-12-31,0000-00-00,196.98
henniso01w,G,0,0,67.0,143,Stanford,,1969-10-04,0000-00-00,148.05
henryan01w,F,0,0,75.0,205,Florida,,1986-02-13,0000-00-00,174.02
herriam01w,C,0,0,76.0,189,Iowa,,1977-06-06,0000-00-00,196.98
hibbeka01w,G-F,0,0,70.0,140,Louisiana State,,1977-09-29,0000-00-00,163.76
hicksje01w,F-C,0,0,76.0,188,Maryland,,1971-12-02,0000-00-00,184.8
hightal01w,G,0,0,70.0,139,Louisiana State,,1988-04-06,0000-00-00,148.05
hillec01w,G,0,0,67.0,173,Northern Illinois,,1971-04-06,0000-00-00,148.05
hledeko01w,G,0,0,69.0,150,Duquesne,,1975-03-29,0000-00-00,148.05
hodgeda01w,G-F,0,0,73.0,170,St. Joseph's,,1968-01-21,0000-00-00,163.76
hodgedo01w,G,0,0,69.0,160,Louisiana State,,1982-07-19,0000-00-00,148.05
hodgero01w,G,0,0,71.0,165,Florida State,,1982-07-19,0000-00-00,148.05
